Variable Name,Missing Value Count
RecordNo,0
age,0
employment_status,0
endtime,0
gender,0
household_children,0
household_size,0
i12_health_1,0
i12_health_12,0
i12_health_13,0
i12_health_14,0
i12_health_15,0
i12_health_16,0
i12_health_3,0
i12_health_4,0
i12_health_5,0
i12_health_6,0
i12_health_7,0
i12_health_8,0
qweek,0
region,0
weight,0
i11_health,1005
i9_health,1005
i12_health_11,1019
i12_health_2,1019
i2_health,2026
WCRex2,3005
cantril_ladder,3005
d1_health_1,3433
d1_health_10,3433
d1_health_11,3433
d1_health_12,3433
d1_health_13,3433
d1_health_2,3433
d1_health_3,3433
d1_health_4,3433
d1_health_5,3433
d1_health_6,3433
d1_health_7,3433
d1_health_8,3433
d1_health_9,3433
d1_health_98,3433
d1_health_99,3433
PHQ4_3,5841
PHQ4_4,5873
PHQ4_1,6013
PHQ4_2,6144
WCRex1,7011
i12_health_22,9022
i12_health_25,9022
r1_1,9022
r1_2,9022
i12_health_23,10041
i12_health_26,14037
i12_health_27,18060
i12_health_28,18060
i12_health_29,18060
i13_health,18164
i7a_health,18164
i5_health_1,18707
i5_health_2,18707
i5_health_3,18707
i5_health_4,18707
i5_health_5,18707
i5_health_99,18707
vac2_1,19061
vac2_2,19061
vac2_3,19061
i10_health,19169
vac7,21070
Soc1_1,21092
Soc1_2,21092
Soc1_3,21092
r1_6,21146
r1_7,21146
i1_health,23183
r1_8,24074
r1_9,24074
vac2_7,24074
vac,25076
i12_health_9,25586
i14_health_1,25586
i14_health_10,25586
i14_health_2,25586
i14_health_3,25586
i14_health_4,25586
i14_health_5,25586
i14_health_6,25586
i14_health_7,25586
i14_health_8,25586
i14_health_9,25586
i14_health_96,25586
i14_health_98,25586
i14_health_99,25586
travel1_1,30139
travel1_2,30139
travel1_3,30139
travel1_4,30139
travel1_99,30139
i12_health_24,30248
i3_health,30394
i4_health,30538
i14_health_11,31816
i12_health_10,33130
i12_health_17,33200
i12_health_18,33200
i12_health_19,33200
i12_health_20,33200
vac_1,38959
vac_booster,39162
r1_3,39218
r1_4,39218
r1_5,39218
vac2_6,40119
Vent_3,41134
WCRV_4,41227
vac8,41410
i12_health_21,42222
CORE_B2_4,43238
vac_3,45148
vac_man_1,46195
vac_man_2,46195
vac_man_3,46195
vac_man_4,46195
vac_man_5,46195
vac_man_6,46195
vac_man_7,46195
vac_man_96,46195
vac_man_99,46195
vac_boost_1,46889
vac10_1,47153
vac10_2,47153
vac10_3,47153
vac10_4,47153
vac10_5,47153
vac10_99,47153
Vent_1,47203
child_age_1,47218
child_age_2,47218
child_age_3,47218
child_age_4,47218
child_age_5,47218
combi_vac,47224
r1_10,47257
vac11,47468
vac3_1,47528
vac3_2,47528
vac3_3,47528
vac3_4,47528
vac3_5,47528
vac3_6,47528
vac3_7,47528
vac3_8,47528
vac3_9,47528
vac5,47528
vac12_1,47710
vac12_10,47710
vac12_11,47710
vac12_2,47710
vac12_3,47710
vac12_4,47710
vac12_5,47710
vac12_6,47710
vac12_7,47710
vac12_8,47710
vac12_9,47710
vac12_96,47710
i14_health_other,47833
w1,48235
w2,48235
w3,48235
vac9,48680
future_1,49207
future_2,49207
Soc2_1,49828
Soc2_2,49828
